# src dest weight
0 1 309.0723
0 2 56.116402
0 3 69.505997
1 0 309.0723
1 253 234.49626
1 254 357.17001
2 4 169.983
2 0 56.116402
3 0 69.505997
3 263 105.35198
4 5 255.91
4 2 169.983
5 4 255.91
6 7 286.93698
6 8 71.412399
7 6 286.93698
7 257 80.038849
8 6 71.412399
8 20 335.47198
9 10 93.426949
10 9 93.426949
10 21 328.08905
10 17 107.31511
11 12 302.73999
12 79 231.403
13 14 167.326
14 18 110.038
14 16 40.856499
15 11 87.978302
16 14 40.856499
16 17 108.961
17 16 108.961
17 10 107.31511
17 248 205.034
17 30 291.27301
18 14 110.038
18 15 86.7985
18 19 50.625999
19 18 50.625999
19 20 17.6283
20 19 17.6283
20 8 335.47198
21 10 328.08905
21 250 88.5541
22 23 491.66638
22 43 263.647
22 32 210.254
22 41 181.233
23 25 102.15205
23 29 276.94617
23 22 491.66638
24 25 199.90401
24 41 593.91803
24 249 324.02774
24 247 286.203
25 27 276.69971
25 24 199.90401
25 23 102.15205
25 30 327.35599
26 27 163.87529
26 250 454.26501
26 254 531.02264
26 28 172.50301
27 25 276.69971
27 26 163.87529
27 29 129.85783
27 31 293.17599
28 29 174.726
28 33 438.23401
28 26 172.50301
28 251 113.77
29 27 129.85783
29 28 174.726
29 23 276.94617
30 25 327.35599
30 249 203.022
30 17 291.27301
30 31 299.384
31 27 293.17599
31 250 218.464
31 30 299.384
32 33 239.924
32 22 210.254
33 32 239.924
33 34 251.58701
33 28 438.23401
34 33 251.58701
34 35 249.724
35 36 198.94501
35 34 249.724
36 35 198.94501
36 37 361.379
37 36 361.379
37 38 69.060799
38 37 69.060799
38 45 495.827
38 137 406.76901
39 40 304.62543
39 41 278.37799
39 42 102.83
39 133 373.159
40 39 304.62543
40 247 293.46112
40 75 261.66342
41 22 181.233
41 39 278.37799
41 24 593.91803
41 44 269.19901
42 39 102.83
42 137 738.73102
43 22 263.647
43 44 169.34399
43 45 98.380203
44 43 169.34399
44 46 97.755302
44 41 269.19901
45 46 164.60001
45 38 495.827
45 43 98.380203
46 44 97.755302
46 45 164.60001
47 48 625.96503
47 179 124.013
47 239 294.763
47 280 435.05099
48 47 625.96503
48 49 74.0914
48 50 151.095
49 51 153.998
49 48 74.0914
50 56 171.18869
50 57 284.19101
50 48 151.095
51 55 133.60699
51 49 153.998
52 53 174.07401
52 54 289.46899
52 240 59.376122
53 58 67.641296
53 52 174.07401
53 59 274.4874
53 57 309.70001
54 52 289.46899
54 70 235.743
54 68 59.197899
54 67 198.84599
55 51 133.60699
55 127 240.90601
55 65 429.435
55 179 471.80499
56 64 70.416763
56 61 393.79599
56 62 323.7738
56 50 171.18869
56 65 507.784
56 59 58.544376
57 53 309.70001
57 50 284.19101
57 118 265.31671
57 239 785.60602
58 66 40.863098
58 53 67.641296
59 53 274.4874
59 56 58.544376
60 61 70.562187
60 62 236.60104
60 63 255.85025
61 60 70.562187
61 56 393.79599
62 60 236.60104
62 75 380.78134
62 65 350.19894
62 56 323.7738
63 60 255.85025
63 72 188.04713
63 75 310.00323
63 247 255.85327
64 67 326.24164
64 56 70.416763
65 62 350.19894
65 56 507.784
65 55 429.435
65 133 439.45499
65 130 85.366302
66 58 40.863098
66 67 61.082298
67 66 61.082298
67 54 198.84599
67 64 326.24164
68 54 59.197899
68 90 163.722
68 240 290.13644
69 70 222.733
69 106 116.632
69 73 117.279
70 54 235.743
70 71 117.219
71 72 192.26019
71 70 117.219
71 73 224.313
71 74 100.88
72 71 192.26019
72 63 188.04713
72 246 293.72198
73 78 241.79401
73 69 117.279
73 76 106.923
74 71 100.88
74 244 65.035599
75 62 380.78134
75 40 261.66342
75 63 310.00323
76 77 182.588
76 79 102.528
77 13 347.14099
78 73 241.79401
78 245 194.933
78 248 290.17001
79 103 114.316
80 81 158.86169
81 107 257.96082
82 83 363.362
82 105 64.822914
83 95 38.0103
84 85 81.290703
84 240 160.605
84 369 30.48844
85 87 43.0266
85 88 46.4552
85 84 81.290703
86 85 58.310013
87 85 43.0266
87 90 180.162
87 88 37.9599
88 89 98.881401
89 96 39.981899
90 106 115.739
90 68 163.722
90 99 105.726
90 87 180.162
91 92 77.105858
92 84 127.088
93 91 51.527657
93 94 445.06738
94 93 445.06738
94 369 114.63
94 371 123.8002
95 96 26.181801
96 97 192.664
97 101 53.5555
97 102 116.456
98 99 41.231098
99 98 41.231098
99 90 105.726
100 86 41.965778
101 104 35.543201
102 69 107.365
102 76 115.521
103 104 134.129
103 102 107.393
104 98 113.966
105 86 114.35748
106 69 116.632
106 90 115.739
106 97 106.499
107 82 85.472954
107 120 29.269712
108 109 59.761501
108 110 919.60687
108 195 31.741377
109 108 59.761501
109 112 159.7861
110 108 919.60687
110 124 258.19501
111 109 27.073431
112 109 159.7861
112 113 89.68541
113 114 229.44089
113 115 98.536018
113 112 89.68541
114 121 39.421543
115 117 47.522095
115 113 98.536018
116 117 144.10849
116 118 186.88306
117 116 144.10849
117 115 47.522095
118 119 75.293251
118 116 186.88306
118 120 189.65959
118 57 265.31671
119 118 75.293251
119 124 20.677818
120 118 189.65959
120 107 29.269712
121 122 39.946388
122 123 80.373871
123 235 28.66
124 110 258.19501
124 119 20.677818
124 371 184.62399
125 126 51.997898
125 182 485.16101
125 131 109.095
125 188 400.888
126 131 108.805
126 125 51.997898
126 128 563.974
126 132 496.98001
127 55 240.90601
127 128 37.6446
127 130 465.07101
128 129 135.439
128 127 37.6446
128 126 563.974
129 128 135.439
129 182 162.27
130 127 465.07101
130 132 751.56799
130 65 85.366302
131 126 108.805
131 149 346.75699
131 125 109.095
132 126 496.98001
132 134 378.89899
132 135 435.59698
132 130 751.56799
133 135 837.14001
133 65 439.45499
133 39 373.159
134 136 211.161
134 132 378.89899
134 140 553.12701
134 150 275.431
135 132 435.59698
135 137 377.194
135 133 837.14001
135 138 267.685
136 134 211.161
136 138 237.53101
137 135 377.194
137 42 738.73102
137 38 406.76901
138 136 237.53101
138 135 267.685
138 255 429.39001
139 140 271.89999
139 141 307.02701
140 134 553.12701
140 139 271.89999
140 144 88.161797
141 139 307.02701
141 275 85.102898
141 276 175.19
141 151 114.711
142 143 239.155
142 144 310.13
143 145 26.5784
143 142 239.155
144 148 170.911
144 142 310.13
144 140 88.161797
145 143 26.5784
145 146 81.297096
146 147 24.541401
147 153 48.077702
147 154 42.5518
148 144 170.911
148 256 225.2657
149 150 248.60899
149 131 346.75699
149 265 263.177
149 273 125.067
150 149 248.60899
150 134 275.431
151 152 175.101
151 141 114.711
152 151 175.101
152 267 187.222
153 154 37.655201
153 267 78.284302
154 380 67.389503
155 156 293.715
155 224 422.379
155 212 168.771
156 159 162.63
156 155 293.715
156 376 172.263
157 158 31.166
158 171 184.242
159 160 18.3641
159 156 162.63
159 230 86.501701
159 212 336.004
160 165 79.859497
161 162 99.124298
162 172 43.090401
163 161 81.432503
164 163 54.766899
165 174 41.431499
166 167 96.227203
166 168 143.49699
166 266 122.959
167 166 96.227203
167 378 92.050903
168 177 161.25101
168 166 143.49699
381 169 15000
169 381 15000
169 170 82.921204
170 169 82.921204
170 171 79.014
171 164 124.632
171 170 79.014
172 173 87.748596
173 228 259.5
173 294 238.621
174 164 69.993599
175 176 246.532
175 177 114.788
176 178 193.54401
176 175 246.532
177 168 161.25101
177 175 114.788
178 176 193.54401
178 278 149.319
178 277 203.14101
179 47 124.013
179 55 471.80499
179 189 431.319
179 182 390.13599
180 181 87.672203
