#src dest weight
0 2 4
0 3 7
0 23 4
0 50 5
0 69 6
1 9 5
1 11 5
1 16 3
1 26 3
1 31 5
1 49 3
1 59 5
1 68 5
2 14 7
2 23 6
2 50 4
3 19 5
3 23 5
3 29 3
3 38 5
3 48 4
3 66 3
3 69 2
4 7 4
4 12 5
4 25 5
4 40 5
4 53 5
5 18 4
5 32 5
5 37 2
5 54 4
5 65 2
5 67 4
6 21 7
6 35 6
6 47 6
6 56 5
6 63 5
7 40 2
7 46 3
7 47 7
7 53 4
8 10 5
8 26 5
8 28 2
8 51 5
8 52 4
8 55 5
8 56 3
9 11 3
9 16 6
9 17 8
9 31 5
9 49 6
9 59 4
9 68 1
10 16 4
10 17 6
10 20 5
10 28 5
10 52 5
10 55 2
10 59 5
11 15 7
11 31 3
11 49 5
11 59 6
11 68 3
12 25 2
12 27 5
12 40 9
12 41 5
13 20 6
13 22 5
13 33 4
13 43 4
13 50 5
14 44 5
14 60 7
14 61 8
15 30 5
15 42 3
15 49 4
15 62 4
16 26 2
16 55 5
17 20 4
17 43 5
17 44 8
17 50 8
17 55 6
17 59 5
17 60 7
17 61 4
18 19 4
18 32 4
18 37 5
18 38 5
18 39 4
18 54 2
18 65 4
18 66 5
18 67 7
18 69 7
19 22 6
19 29 6
19 36 5
19 38 2
19 54 3
19 65 7
19 66 2
19 69 5
20 33 6
20 43 5
20 52 5
20 55 4
21 24 3
21 30 5
21 62 6
21 63 3
22 33 3
22 36 5
22 38 5
22 45 5
23 29 6
23 50 5
23 69 4
24 30 3
24 42 6
24 62 4
24 63 4
25 27 4
25 34 6
25 41 5
25 57 6
26 30 4
26 49 3
26 62 7
27 41 6
27 67 6
28 56 3
29 48 3
29 66 5
29 69 3
30 42 6
30 62 5
30 63 5
32 37 5
32 39 3
32 54 5
32 65 4
33 43 6
33 50 7
33 58 5
34 35 3
34 41 3
34 45 5
34 51 4
34 57 2
34 58 4
35 41 5
35 51 2
35 57 3
35 58 4
35 64 4
36 38 4
36 41 6
36 45 3
36 54 5
37 65 2
37 67 4
38 54 4
38 66 3
38 69 5
39 48 4
39 65 6
40 46 2
40 47 8
40 53 5
41 45 4
41 51 6
41 57 4
41 58 5
42 49 6
42 62 3
43 50 4
43 61 6
44 60 3
44 61 5
45 58 5
46 53 5
47 53 5
48 66 5
48 69 5
49 62 6
51 56 4
51 57 4
51 58 4
51 64 3
52 55 4
52 64 3
54 65 5
54 66 4
57 58 5
58 64 3
59 68 4
60 61 4
65 67 5
66 69 4
