#src dest weight
0 7 5
0 11 3
0 26 3
0 48 6
0 77 4
0 79 5
0 97 5
0 101 5
0 120 5
1 11 4
1 27 4
1 46 5
1 67 2
1 77 3
1 81 6
1 118 4
2 11 6
2 23 5
2 37 2
2 48 6
2 49 5
2 74 4
2 79 3
2 97 4
2 114 6
3 12 2
3 15 5
3 56 5
3 68 7
3 71 4
3 78 5
3 96 4
3 100 5
3 107 5
3 115 6
4 10 6
4 18 4
4 43 5
4 64 6
4 69 2
4 103 3
4 109 3
4 111 7
5 9 5
5 24 4
5 29 6
5 36 1
5 58 6
5 63 4
5 80 4
6 32 4
6 45 1
6 55 5
6 60 3
6 73 5
6 112 6
7 11 6
7 26 3
7 40 5
7 65 5
7 93 3
7 101 2
7 120 2
8 21 5
8 22 2
8 30 8
8 35 9
8 41 5
8 57 6
8 119 5
9 29 4
9 36 5
9 63 6
9 66 5
9 70 4
9 72 5
9 80 2
9 81 6
9 124 5
10 18 4
10 69 5
10 86 4
10 109 4
10 117 4
11 26 5
11 46 6
11 67 5
11 77 2
11 79 4
11 97 5
12 15 5
12 56 4
12 68 6
12 78 6
12 100 5
12 107 5
13 19 11
13 50 3
13 76 5
13 83 3
13 92 5
13 95 6
14 53 2
14 61 4
14 66 4
14 72 5
14 100 5
14 106 5
14 108 4
15 56 5
15 107 2
16 55 4
16 62 7
16 112 7
16 114 4
17 28 6
17 42 3
17 43 5
17 59 5
17 64 6
17 89 6
17 90 4
17 98 3
17 113 3
18 69 3
18 86 7
18 103 6
18 104 7
18 109 2
18 117 7
19 20 5
19 32 10
19 50 11
19 75 7
19 76 8
19 85 4
19 92 10
20 32 7
20 50 7
20 75 7
20 76 4
20 85 3
20 92 6
21 22 5
21 35 8
21 41 9
21 57 10
21 119 2
21 125 10
22 30 7
22 35 8
22 41 5
22 57 7
22 119 5
22 125 7
23 37 4
23 49 2
23 53 4
23 72 3
23 74 3
23 114 6
23 124 3
24 36 4
24 86 6
24 87 6
24 102 4
24 117 6
25 30 5
25 33 5
25 38 7
25 39 4
25 41 5
25 88 3
25 91 5
25 121 5
26 40 6
26 48 6
26 93 5
26 101 4
26 120 4
26 126 6
27 29 5
27 52 7
27 67 3
27 81 3
27 94 4
27 118 5
27 122 5
28 42 8
28 43 6
28 64 2
28 98 5
28 103 5
28 111 6
29 36 6
29 80 3
29 81 3
29 94 3
29 122 6
30 31 8
30 33 2
30 38 5
30 39 5
30 41 4
30 54 6
30 57 6
30 88 8
31 33 6
31 38 3
31 39 6
31 47 7
31 51 2
31 52 3
31 54 6
31 89 6
32 45 4
32 60 2
32 75 7
32 112 7
32 126 6
33 38 4
33 39 4
33 41 5
33 54 6
34 56 5
34 68 4
35 91 6
35 123 5
35 125 5
36 58 6
36 63 4
36 80 4
37 74 3
37 79 4
37 97 5
38 39 5
38 47 7
38 51 4
38 52 5
38 54 5
39 46 5
39 88 5
40 44 4
40 50 5
40 65 2
40 82 5
40 92 6
40 93 5
40 95 6
40 116 2
41 57 6
42 43 5
42 59 3
42 89 4
42 90 4
42 98 5
42 104 7
42 105 7
42 113 2
43 59 5
43 64 5
43 69 5
43 90 2
43 98 3
43 103 4
43 104 5
43 105 6
43 109 7
43 113 4
44 65 3
44 82 2
44 93 4
44 95 5
44 116 3
44 120 5
45 55 5
45 60 3
45 73 5
45 112 6
46 67 6
46 118 4
47 51 7
47 54 3
48 73 2
48 79 5
48 97 4
48 99 3
48 126 5
49 66 3
49 72 2
49 74 4
49 124 2
50 65 6
50 76 4
50 83 1
50 92 2
50 95 8
50 116 6
51 52 2
51 54 6
51 89 5
52 89 5
52 118 5
52 122 5
53 61 5
53 66 3
55 60 6
55 99 6
55 112 5
56 68 4
56 84 7
56 107 5
58 63 3
58 104 4
58 105 3
59 89 4
59 90 5
59 104 5
59 113 3
60 73 5
60 75 7
60 112 7
61 87 5
61 102 5
61 106 2
61 108 1
61 115 3
62 112 8
63 80 5
63 105 5
64 98 5
64 103 4
64 111 5
65 82 4
65 93 4
65 95 6
65 101 5
65 116 1
65 120 4
66 70 2
66 72 2
66 74 5
66 80 5
66 124 2
67 77 4
67 81 5
67 118 4
68 84 5
68 110 6
69 103 4
69 109 2
69 111 8
70 72 2
70 80 5
70 124 2
71 78 2
71 96 1
71 100 2
72 74 5
72 124 1
73 99 3
73 126 4
74 114 4
75 85 8
76 83 4
76 85 5
76 92 3
78 96 2
78 100 2
78 114 5
79 97 2
80 81 5
81 94 2
81 122 5
82 88 6
82 91 6
82 93 4
82 95 5
82 116 4
83 92 2
84 87 5
84 110 2
85 92 7
86 109 7
86 117 1
87 102 3
87 106 4
87 108 5
87 110 4
88 91 4
88 93 6
88 101 6
88 121 2
88 125 5
89 113 5
90 98 3
90 103 5
90 113 3
91 121 4
91 123 5
91 125 2
92 126 5
93 101 3
93 116 4
93 120 2
94 122 4
95 116 6
95 123 6
96 100 2
98 103 5
98 113 4
101 116 5
101 120 2
102 106 5
102 108 5
103 109 5
103 111 6
104 105 2
106 108 2
106 115 3
108 115 3
116 120 4
118 122 6
121 125 5
123 125 5
